geo_type,region,transportation_type,alternative_name,sub-region,country,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020
city,Bergamo,walking,,Lombardy Region,Italy,100,105.83,107.01,107.54,128.18,144.17,106.53,109.29,101.18,109.82,113.72,106,144.65,115.86,100.74,98.38,117.22,104.12,130.54,152.85,135.06,110.04,108.41,99.65,108.19,127.17,147.68,117.31,105.78,114.86,119.89,115.73,152.32,199.39,129.89,126.73,127.08,124.72,127.34,139.48,165.47,116.56,79.49,77.48,69.46,76.69,86.33,77.96,53.42,54.29,69.24,69.59,58.24,61.48,71.47,44.57,41.19,34.71,42.73,27.87,29.89,23.79,21.21,24.1,32.47,23.09,30.15,24.76,27.34,16.04,19.28,20.03,21.69,22.44,21.6,22.17,13.63,19.33,22.87,19.76,25.5,25.2,26.77,18.4,24.8,30.89,28.09,34.05,37.86,39.92,21.12,16.17,27.17,33.04,27.04,33.48,32.65,23.88,27.61,34.88,30.63,29.36,33.44,28,28.22,30.37,30.15,29.62,31.95,23.75,34.66,32.38,55.7,63.32,57.93,59.07,72.7,87.16,66.61,,,41.89,62.23,60.96,72.3,75.72,68.84,59.51,75.02,72.09,74.28,81.99,80.81,69.81,74.89,79.05,75.46,78.53,89.61
city,Berlin,driving,,,Germany,100,105.36,107.04,109.71,116.27,110.4,98.89,101.88,103.34,100.95,102.77,110.28,106.29,92.04,103.97,109.13,102.16,108.05,120.15,105.44,93.07,100.63,100.7,99.76,100.91,109.82,108.3,92.91,101.56,104.01,105.26,110.55,123.98,116.22,98.32,107.4,108.75,111.06,113.46,119.89,115.21,98.39,108.68,110.96,107.15,110.79,116.54,110.85,97.64,100.72,104.31,99.51,103.42,110.47,106,94.93,97.52,96.65,94.53,89.6,83.87,75.05,64.53,70.44,64.33,61.48,54.14,47.77,39.78,39.65,42.73,43.27,43.73,45.51,46.58,43.64,35.17,44.38,47.67,48.71,49.06,46.72,43.35,50.19,56.9,58.36,59.2,54.24,45.64,46.55,45.58,45.94,57.87,59.18,62.32,59.52,54.9,57.02,63.24,66.42,68.16,70.84,64.87,56.7,61.7,71.57,70.4,68.64,68.5,58.36,56.94,63.03,72.07,73.32,76.81,76.73,73.87,74.45,74.77,,,80.57,86.61,87.58,76.65,79.23,87.3,89.47,97.14,86.2,84.32,74.76,73.84,91.98,96.21,97.49,102.87,110.96,91.75
city,Berlin,transit,,,Germany,100,104.84,104.32,109.63,119.85,121.96,100.37,98.47,101.49,100.53,105.14,115.72,120.86,95.89,99.29,101.01,98.79,104.58,116.97,116.51,101.18,103.25,103.06,99.91,102.05,112.29,117.4,95.13,103.37,104.9,107.04,115.33,125.41,128.95,105.08,115.42,113.66,116.4,120.85,133.78,136.3,111.76,117.28,118.81,112.76,120.1,128.94,130.05,108.14,104.79,100.77,99,101.77,112.71,118.9,96.27,94.35,90.74,87.2,80.36,72.41,66.06,49.47,47,40.55,37.04,29.56,24.92,21.68,21.06,21.72,21.28,21.65,21.35,21.89,20.87,19.33,22.03,24.39,22.88,23.02,21.69,21.73,23.86,27.69,27.25,26.52,25.09,24.77,22.44,22.81,23.55,28.44,28.85,30.67,28.88,28.23,29.19,32.29,30.87,32.97,33.58,31.23,29.66,31.62,34.74,33.3,32.49,32.82,33.42,32.48,35.49,39.31,38.98,39.99,40.31,41.59,42.68,38.82,,,44.67,46.09,47.54,45.87,45.32,49.41,51.29,52.19,51.08,50.02,46.06,43.41,53.28,56.72,58.38,57.84,60.12,57.9
city,Berlin,walking,,,Germany,100,107.17,111.6,116.41,134.55,149.26,99.5,95.27,101.05,99.09,106.89,127.18,134.96,87.69,98.24,96.32,97.17,105.93,134.49,131.71,92.85,97.33,98.23,97.71,100.65,124.78,144.6,97.19,98.04,103.72,110.9,122.99,150.48,167.42,106.55,118.9,118.43,118.34,129.47,155.62,169.47,106.02,126.17,128,111.35,126.36,147.36,157.32,105.68,106.79,100.12,98.94,107.85,122.55,137.77,99.11,97.33,86.73,96.43,85.72,83.72,89.4,60.87,60.39,51.35,49.84,38.72,33.53,33.29,33.19,31.1,32.98,31.89,35.8,38.27,43.8,21.18,27.02,31.74,34.7,34.15,33.84,42.15,50.01,46.89,47.76,48.57,43.16,47.78,44.67,52.02,34.1,39,42.74,48.81,48.22,54.9,51.28,46.46,47.87,51.26,54.12,49.04,48.86,53.03,53.29,50.52,43.57,44.65,50.61,42.61,50.12,46.65,47.84,56.1,54.65,64.85,70.92,50.67,,,53.7,55.6,61.89,61.48,60.95,58.2,62.96,67.39,74.98,67.4,61.63,43.29,57.29,71.07,70.67,71.69,77.26,82.52
city,Bern,driving,Berne,Canton of Bern,Switzerland,100,102.16,110.95,115.04,117.37,114.22,101.37,101.12,102.73,111.95,108.55,120.74,119.72,105.99,104.26,104.68,109.68,112.03,119.66,128.95,101.88,102.21,101.41,112.41,115.32,120.1,122.89,105.22,114.24,113.07,116.68,115.54,151.7,152.11,109.16,118.98,111.5,113.79,116.54,132.13,161.17,104.79,114.65,115.59,120.81,118.37,125.81,135.82,104.69,103.24,105.29,108.67,108.66,116.69,112.76,100.45,103.11,99.95,107.53,96.57,94.64,80.2,73.71,73.2,65.44,65.81,62.98,54.87,46.91,41.33,57.47,59.06,59.49,58.29,62.19,56.27,48.03,57.34,63.48,61.72,68.8,68.54,59.08,61.79,68.6,71.43,78.07,71.71,62.23,62.76,57.04,67.85,72.65,77.19,77.35,83.22,72.63,70.7,76.06,80.49,81.09,83.49,82.64,72.98,72.93,82.4,82.87,83.52,81.88,85.57,70.13,81.07,84.47,86.62,91.27,95.02,96.78,90.71,81.3,,,98.87,96.7,103.76,94.97,99.89,107.53,110.17,125.96,120.72,112.99,92.86,104.03,111.72,115.69,117.54,127.07,128.94,122.38
city,Bern,transit,Berne,Canton of Bern,Switzerland,100,94.44,95.78,90.85,108.09,90.08,85.86,95.43,98.31,105.84,93.88,104.71,90.78,85.29,98.24,100.28,103.94,95.21,102.46,86.42,88.32,100.7,100.35,100.28,96.41,89.51,84.38,85.57,110.42,109.15,120.76,97.11,102.81,94.02,91.34,109.29,107.6,113.23,104.71,104.29,100.28,87.12,94.93,111.26,100,112.46,98.73,93.38,88.18,101.55,93.67,95.99,99.58,95.85,83.95,82.48,93.1,91.91,88.32,73.05,64.18,56.58,47.36,44.48,36.88,33,31.81,29.13,23.43,21.53,31.32,24.91,28.78,28.15,24.49,27.09,22.8,25.26,30.75,29.63,26.81,28.01,24.63,31.25,33.64,35.12,38.71,29.2,31.6,28.29,27.87,33.57,35.33,36.31,36.52,44.41,31.1,31.67,37.23,42.08,42.51,39.69,38.49,32.58,37.79,48.98,43.42,51.51,46.52,40.39,35.68,47.08,51.86,52.29,54.89,52.15,50.81,54.12,46.45,,,56.37,50.46,52.71,48.7,49.33,64.81,60.17,66.01,62.98,54.19,44.97,54.19,60.59,70.3,70.87,68.26,65.1,66.57
city,Bern,walking,Berne,Canton of Bern,Switzerland,100,107.95,119.8,121.67,115.12,120.11,78.72,102.18,109.21,119.78,107.78,113.31,119.3,80.53,104.38,100.14,113.7,118.61,120.14,125.02,78.3,95.87,92.02,104.88,106.81,113.47,115.23,84.71,98.74,111.63,116.29,112.47,128.17,139.44,84.85,108.62,111.91,112.75,122.48,132.89,138.83,84.91,117.41,113.64,115.23,121.79,121.84,122.68,82.29,99.78,109.15,104.32,100.45,107.11,112.91,75.59,96.18,98.69,110.13,94.7,88.9,76.85,64.97,69.68,57.35,57.66,55.45,42.57,42.85,30.71,48.17,47.39,45.16,46.53,49.54,52.02,31.38,42.76,51.02,50.32,57.02,61.56,57.43,60.08,63.43,66.86,69.9,63.91,59.16,60.53,54.5,58.1,56.51,63.51,63.46,69.74,61.73,58.13,63.99,64.21,67.62,68.68,64.41,70.35,49.79,68.4,60.25,63.4,61.26,64.16,53.81,67.78,72.52,67.39,79.89,83.82,77.8,84.49,63.07,,,77.21,75.34,81.34,84.99,77.46,89.37,86.3,91.8,89.51,102.12,75.59,75.76,91.3,93.47,110.52,109.71,105.38,122.15
city,Birmingham,driving,,Alabama,United States,100,100.39,101.95,105.97,124.99,109.89,84.12,99.43,97.73,97.87,104.81,122.05,116.86,74.25,98.87,98.58,96.17,105.42,124.98,114.77,78.92,94.57,97.1,96.17,102.71,120.15,116.09,82.85,95.58,101.42,103.6,115.8,139.46,121.43,89.26,101.21,105.05,110.39,114.27,137.02,126.67,81.3,107.92,109.7,110.7,120.04,141.17,132.82,87.87,101.9,109.58,109.44,123.83,147.38,146.35,94.43,107.18,111.16,109.89,116.79,122.45,111.57,69.08,82.35,76.24,72.59,69.46,73.33,59.22,41.13,51.37,57.11,59.5,62.38,66.12,56.03,43.45,57.28,55.92,61.24,62.52,68.89,53.53,38.97,55.39,54.36,56.89,63.28,68.22,58.94,28.15,61.07,64.75,68.64,71.67,79.49,70.49,40.74,73.38,73.89,74.99,67.71,84.84,75.47,57.66,74.41,77,71.84,84.46,95.84,84.06,65.31,85.51,87.23,90.92,93.28,97.39,95.59,66.37,,,102.76,107.9,118.7,108.18,77.52,103.39,111.12,113.82,120.42,126.54,108.93,82.12,83.84,102.8,108.45,125.28,132.1,125.73
city,Birmingham,transit,,Alabama,United States,100,105.69,102.7,104.55,114.79,136.98,92.89,115.08,102.13,114.79,115.65,136.84,121.76,82.79,116.36,103.84,115.79,111.24,122.48,123.19,94.17,104.41,106.83,112.23,124.04,112.09,119.77,95.02,114.65,102.7,114.37,117.5,128.59,114.51,81.65,116.36,111.81,125.18,110.24,135.14,119.35,85.21,116.22,119.91,116.64,116.07,129.59,132.43,95.31,109.39,121.62,96.44,117.78,141.11,152.06,84.21,105.97,125.18,107.82,124.04,110.95,116.64,78.24,91.18,84.92,75.39,75.96,71.12,67.99,46.51,59.6,59.03,65.29,63.87,67.43,62.59,49.5,56.05,54.34,61.31,54.05,62.87,55.19,41.54,51.49,50.64,56.61,61.17,55.33,55.33,38.41,63.87,68.85,56.9,68.71,69.13,66.86,46.66,68.99,81.65,63.16,66.15,66.71,67.85,57.47,77.24,72.83,76.67,72.4,82.36,77.67,64.15,69.13,75.68,87.62,75.68,75.25,84.07,67.99,,,77.67,85.78,93.03,84.07,70.84,80.65,93.17,86.06,87.2,101.71,93.74,72.55,72.55,83.78,85.35,96.02,106.69,106.12
city,Birmingham,walking,,Alabama,United States,100,94.69,98.19,102.98,122.6,124.46,80.39,86.44,90.75,93.73,90.6,126.81,139.08,64.82,88.17,98.97,91.76,100.41,126.44,129.06,72.9,94.11,94.05,92.55,94.43,119.35,135.55,74.19,80.48,94.2,101,114.1,146.68,149.17,94.9,98.42,93.74,105.19,95.59,154.97,142.76,66.5,98.02,114,108.37,118.65,145.4,160.64,76.06,88.59,107.9,100.69,112.16,151.71,164.32,85.34,100.15,105.33,102.34,115.24,110.84,114.48,59.9,77.73,72.97,68.35,69.22,69.35,59.97,38.97,52.67,58.21,61.53,65.06,64.83,55.67,44.53,62.41,52.84,63.96,62.17,66.01,55.53,42.52,55.33,52.87,57.38,66.87,75.01,64.13,25.07,63.44,67.27,69.48,72.3,78.4,73.64,35.7,75.05,71.99,69.27,63.45,82.75,72.76,55.21,72.65,75.75,71.89,79.41,90.95,82.51,64.08,85.46,86,89.58,91.72,89.13,91.26,61.86,,,106.76,116.11,121.48,109.29,77.82,106.16,116.16,121.49,120.2,123.13,108.44,81.11,80.67,101.58,113.09,126.21,142.15,133.96
